country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode,is_seller,is_buyer,is_active,segment,country_en,hasAnyAppBool,activity_level
Albanie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,al,False,False,False,Ghost,Albanie,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Grèce,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,gr,False,False,False,Ghost,Greece,False,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,us,False,False,False,Ghost,United States,False,Inactive
France,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,True,False,True,True,642,2853,95.1,7.92,fr,False,False,False,Browser,France,True,Inactive
Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,de,False,False,False,Ghost,Germany,False,Inactive
Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,618,2853,95.1,7.92,gb,False,False,False,Ghost,United Kingdom,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,692,2853,95.1,7.92,fr,False,False,False,Ghost,France,False,Inactive
France,fr,3,8,5,0,0,0.0,4,0,F,2,mrs,False,False,False,True,11,2853,95.1,7.92,fr,False,False,False,Browser,France,False,Inactive
France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,614,2853,95.1,7.92,fr,False,False,False,Ghost,France,True,Inactive
